cod,denumire,cod_fiscal,analitic,tara,judet,adresa,cont_banca,banca,tel,email,grupa,reg_com,delegat,bi_serie,bi_numar,bi_pol,masina,den_agent,discount
00245,TOPOTRUST CONSTRUCT SRL,RO14446780,4111.00245,RO,CJ,"JUD. CLUJ, MUN. CLUJ-NAPOCA, STR. TAIETURA TURCULUI, NR.64",RO13RNCB0106026592050001,BANCA COMERCIALA ROMANA,0264406498,topotrust@topotrust.ro,,J12/259/2002,,,,,,HORIA TODEA,0
00246,WISE ENERGY SOLUTION LTD,,4111.00246,IL,,"Hakishon 7, Reshon-le-zion, 972544646009, amir cohen",,,,,,,,,,,,,0
00247,PHILINEA ENERGY SRL,RO25750156,4111.00247,RO,PH,"JUD. PRAHOVA, MUN. PLOIESTI, INT. REGIMENTULUI, NR.5, BL.153C, SC.A, ET.1, AP.4",,,0726 229 690,,,J29/1120/2009,,,,,,,0
00248,CORBO AX SRL,RO30810653,4111.00248,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 2, STR. SIMION BUSUIOC, NR.63, O CAMERA",,,-,,,J40/12157/2012,,,,,,,0
00249,HU FEILO SYLVANIA INT GROUP KFT,25758054-2-41,4111.00249,HU,,,,,,,,,,,,,,,0
00250,FORWARD ARCHITECTURE & ENGINEERING SRL,RO37403908,4111.00250,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 4, STR. MUZELOR, NR.22A, BIROUL NR. 20, ET.1",,,-,,,J40/5373/2017,,,,,,,0
00251,ELECTRONET CONCEPT SRL,RO31225178,4111.00251,RO,MM,"JUD. MARAMURES, MUN. BAIA MARE, STR. VASILE LUCACIU, NR.163",,,-,,,J24/137/2013,,,,,,,0
00252,SASKIA VISUAL COMPANY SRL,RO34971717,4111.00252,RO,IF,"JUD. ILFOV, ORS. VOLUNTARI, STR. EROU IANCU NICOLAE, NR.75A/XII, CAMERA 1, SC.A, ET.2, AP.A9",,,-,,,J23/3142/2015,,,,,,,0
00253,DONGWE SPORTS COMPANY LIMITED,Z0000036516,4111.00253,TZ,,"DONGWE KUSINI, TANZANIA, ABDULA ZAKARIA",,,,,,,,,,,,,0
00254,VEDERE S.R.L.,RO14665314,4111.00254,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 3, STR. BREAZA, NR.8, BL.V23, SC.1, ET.5, AP.24",,,0722316720,,,J40/4538/2002,,,,,,,0
00255,SOLMARCON S.R.L.,RO18441093,4111.00255,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 6, STR. MEHADIA, NR.16, BL.22, SC.C, ET.1, AP.116",,,0766251547,,,J40/3536/2006,,,,,,,0
00256,GOOD VIBES SRL,RO31625174,4111.00256,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 4, SOS. OLTENITEI, NR.83, PARTER,CAMERA 1, BL.12, SC.1, AP.4",,,-,,,J40/6037/2013,,,,,,,0
00257,INSTALNIVA-COMP SRL,RO8063705,4111.00257,RO,TM,"JUD. TIMIS, MUN. TIMISOARA, STR. VIRTUTII, NR.6-8",,,0256294304,,,J35/1469/1995,,,,,,,0
00258,PIXEL MEDIA SRL,RO17249074,4111.00258,RO,NT,"JUD. NEAMT, MUN. PIATRA NEAMT, PTA. STEFAN CEL MARE, NR.12, BL.C6, SC.A, ET.2, AP.5",,,0333405328,,,J27/330/2005,,,,,,,0
00259,MIHAI IONESCU,CNP1500916400429,4111.00259,RO,,,,,,,,,,,,,,,0
00260,RONI CONSTRUCT & DEVELOPMENT SRL,RO27494410,4111.00260,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 3, SOS. MIHAI BRAVU, NR.311-313, BL.SB1, SC.B, ET.3, AP.42",,,0722777186,,,J40/9676/2010,,,,,,,0
00261,BLOOM-BERG LTD,515196459,4111.00261,IL,,                 Bar youda 147 st Nesher,,,,   sales@bloom-berg.co.il,,        51519645,,,,,,,0
00262,LANDAQ DEVELOPMENT S.R.L.,RO10052490,4111.00262,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 2, STR. POET BARBU MUMULEANU, NR.10, PARTER, AP.1",,,0727300346,,,J23/2246/2014,,,,,,,0
